latitude,longitude,title,infotext,link
48.3538426,11.781021,Munchen Airport,"Munich Airport",https://en.wikipedia.org/wiki/Munich_Airport
47.8028488,13.0263032,Salzburg, "Saltzburg, Austria", https://en.wikipedia.org/wiki/Salzburg
47.1237278,12.8305816,Edelweißspitze,"Edelweiss Peak, Austria", https://en.wikipedia.org/wiki/Edelwei%C3%9Fspitze
47.1109843,12.8322047,FAT Mankei restaurant,"FAT Mankei Restaurant, Austria", https://www.fatmankei.com/
47.0250037,12.8371203,Jungfernsprung, "Jungfernsprung",https://www.jungfernsprung.at/
46.8270407,12.7525945,Dolomitenbad Freibad Lienz,"Outdoor Pool Lienz and bathing area at the lake Tristacher See open daily from 9 AM to 8 PM, due to weather conditions.",https://www.dolomitenbad.at/en/
47.1396097,9.5220357,Vaduz Castle,"Vaduz Castle, Liechtenstein",https://cillamariatravel.fi/onko-liechtensteinin-minivaltio-kaymisen-arvoinen/
45.9780413,8.9169199,Monte San Salvatore,"Kauas näkyvä vuorenhuippu, jossa on vuoristokylä, upeita järvimaisemia, vaellusreittejä ja köysirata",https://www.montesansalvatore.ch/en/
